date	tau	Tb	pwv	lwp	iwp	o3
2021-04-11_18.00.00	1.3712e+00	2.0165e+02	7.8162e+00	3.9657e-01	7.4577e-02	3.6055e+02
2021-04-11_19.00.00	1.8230e+00	2.2570e+02	7.9834e+00	5.9174e-01	3.7198e-01	3.6376e+02
2021-04-11_20.00.00	1.3513e+00	1.9983e+02	7.8977e+00	3.8699e-01	3.2673e-01	3.6685e+02
2021-04-11_21.00.00	1.3101e+00	1.9647e+02	8.0376e+00	3.6807e-01	5.7772e-01	3.6837e+02
2021-04-11_22.00.00	1.3936e+00	2.0206e+02	8.0683e+00	4.0353e-01	7.2225e-01	3.6874e+02
2021-04-11_23.00.00	1.3017e+00	1.9595e+02	7.8313e+00	3.6900e-01	3.2820e-01	3.7170e+02
2021-04-12_00.00.00	1.6080e+00	2.1496e+02	7.8152e+00	5.0435e-01	3.1221e-01	3.7358e+02
2021-04-12_01.00.00	1.0647e+00	1.7647e+02	7.6049e+00	2.7259e-01	2.7646e-01	3.7505e+02
2021-04-12_02.00.00	1.5169e+00	2.0946e+02	7.4567e+00	4.7535e-01	3.3941e-01	3.7673e+02
2021-04-12_03.00.00	1.4352e+00	2.0427e+02	7.4819e+00	4.3982e-01	4.4224e-01	3.7820e+02
2021-04-12_04.00.00	1.1924e+00	1.8722e+02	7.2491e+00	3.3743e-01	2.7782e-01	3.7948e+02
2021-04-12_05.00.00	1.3102e+00	1.9629e+02	6.8449e+00	3.9949e-01	7.4290e-02	3.7943e+02
2021-04-12_06.00.00	1.1544e+00	1.8342e+02	6.8231e+00	3.3746e-01	1.2745e-01	3.7715e+02
2021-04-12_07.00.00	6.4053e-01	1.2761e+02	6.7306e+00	1.1192e-01	1.6956e-01	3.7599e+02
2021-04-12_08.00.00	5.2684e-01	1.1080e+02	6.6927e+00	6.4557e-02	8.1362e-02	3.7631e+02
2021-04-12_09.00.00	5.7685e-01	1.1846e+02	6.5164e+00	9.0876e-02	6.3669e-02	3.7802e+02
2021-04-12_10.00.00	8.4912e-01	1.5356e+02	6.6901e+00	2.0567e-01	1.8118e-01	3.8140e+02
2021-04-12_11.00.00	5.9203e-01	1.2062e+02	6.7663e+00	8.7847e-02	3.6039e-01	3.8138e+02
2021-04-12_12.00.00	6.9470e-01	1.3472e+02	6.4952e+00	1.4283e-01	1.5914e-01	3.8377e+02
2021-04-12_13.00.00	5.6823e-01	1.1686e+02	6.4278e+00	8.9040e-02	1.5992e-01	3.8296e+02
2021-04-12_14.00.00	4.7526e-01	1.0223e+02	6.3240e+00	4.9617e-02	2.6988e-01	3.8250e+02
2021-04-12_15.00.00	3.6788e-01	8.3720e+01	5.9877e+00	1.1583e-02	2.4220e-01	3.8273e+02
